CoinGecko100,Ticker,Crypto Stack,Sector,Industry,Taxonomy
Huobi,HT,cApp,CeFi,CEX,UtilityToken
NEXO,NEXO,cApp,CeFi,Lending,UtilityToken
Tether,USDT,cApp,CeFi,Tokenization,Stablecoin
USD Coin,USDC,cApp,CeFi,Tokenization,Stablecoin
TrueUSD,TUSD,cApp,CeFi,Tokenization,Stablecoin
Pax Dollar,USDP,cApp,CeFi,Tokenization,Stablecoin
First Digital USD,FDUSD,cApp,CeFi,Tokenization,Stablecoin
Wrapped Bitcoin,WBTC,cApp,CeFi,Tokenization,DerivativeToken
Tether Gold,XAUT,cApp,CeFi,Tokenization,DerivativeToken
PAX Gold,PAXG,cApp,CeFi,Tokenization,DerivativeToken
Coinbase Wrapped StakedETH,CBETH,cApp,CeFi,LiquidStaking,DerivativeToken
Binance USD,BUSD,cApp,CeFi,Tokenization,Stablecoin
Filecoin,FIL,AppSpecificBlockchain,Infrastructure,DataStoragePlatforms,NativeCurrency
Theta Network,THETA,AppSpecificBlockchain,MediaEntertainment,ContentCreation,NativeCurrency
ImmutableX,IMX,AppSpecificBlockchain,Metaverse,Gaming,NativeCurrency
THORChain,RUNE,AppSpecificBlockchain,DeFi,DEX,NativeCurrency
Flow,FLOW,AppSpecificBlockchain,MediaEntertainment,ContentCreation,NativeCurrency
Klaytn,KLAY,AppSpecificBlockchain,MediaEntertainment,ContentCreation,NativeCurrency
Chiliz,CHZ,AppSpecificBlockchain,Metaverse,Sports,NativeCurrency
dYdX,DYDX,AppSpecificBlockchain,DeFi,Derivative,NativeCurrency
